"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Gene"
"THBS2",89.4387372143947,7.98848070161884,1.17712341349072,1.64899082858233e-13,1.10961378089033e-10,"THBS2"
"TMEM54",11.112329703029,7.95765745823782,2.94304093192437,8.09580219618321e-06,0.000146106999788333,"TMEM54"
"SLPI",11.9985273223621,7.95413689667974,3.06036320417799,4.98390939900665e-05,0.000579969497558442,"SLPI"
"GTF2IP4",10.4470923413901,7.94188064227143,2.84626983368614,1.09928355443132e-06,2.98011015057479e-05,"GTF2IP4"
"HLA-DRB1",10.7510149709454,7.9088765869942,2.92833593152615,7.61858595647971e-06,0.000139634550131018,"HLA-DRB1"
"APEX1",10.0767195642652,7.87897306898098,2.83297928707678,1.28172091376936e-06,3.35407374675459e-05,"APEX1"
"PRDX5",9.80466554898515,7.83819517496133,2.83966048365224,1.51649548498857e-06,3.7995740599953e-05,"PRDX5"
"TRMT1",10.3920653240327,7.83704133535577,2.93024891471959,1.105577275831e-05,0.000186228082853108,"TRMT1"
"EGR1",256.042028741789,7.81030978309468,1.05976782157664,5.31132940416035e-16,1.2509065968365e-12,"EGR1"
"NID1",33.8006042505427,7.77862668655863,1.55861842298897,8.11063547989038e-11,1.76325215332817e-08,"NID1"
"FABP5",9.71505284936982,7.75050919297237,2.88270525720376,7.14413015034969e-06,0.000132311537555166,"FABP5"
"RPS25",9.89974510187039,7.71614086480096,2.94981694697307,2.62911302097952e-05,0.000351263414870625,"RPS25"
"NELFE",9.80400588346992,7.70116889854503,2.94303813015905,2.47854710194948e-05,0.000336126190956315,"NELFE"
"IGDCC4",10.4245826720711,7.70024224183055,3.03368341114398,8.26787620573156e-05,0.000859068813699946,"IGDCC4"
"EEF1G",76.6452024981444,7.68754098371347,1.28685404177919,1.62286639686294e-14,2.16252464279316e-11,"EEF1G"
"SPDYE2B",8.17943237908025,7.68616964924443,2.98162597219505,4.98664595239903e-05,0.000579969497558442,"SPDYE2B"
"S100A9",9.0675033879022,7.5879661616576,2.91123560567875,2.38993091793081e-05,0.000326300616437491,"S100A9"
"IGLC2",34.9888162796454,7.57232508078226,1.57728287951083,7.9598291192913e-11,1.75750539507352e-08,"IGLC2"
"FOS",54.1399109487143,7.54779126468744,1.46535729669349,1.33046920105562e-10,2.54065679461041e-08,"FOS"
"PADI2",8.82376500797157,7.4828122168105,2.94556150312086,5.91152855483396e-05,0.00065663353359873,"PADI2"
"S100A11",106.360767519354,7.40422191642944,1.38180155763952,3.01893073428171e-11,8.89329971302568e-09,"S100A11"
"ST6GALNAC2",8.06915119750883,7.39204482405822,2.77070393453502,1.10979162692586e-05,0.000186474024733523,"ST6GALNAC2"
"HCFC1R1",7.95799711849849,7.37269912298725,2.76842228595884,1.07710912534188e-05,0.000182720636857216,"HCFC1R1"
"CDSN",8.61389631076285,7.37191073995968,2.99272449519846,0.000149344075177053,0.00137663478560139,"CDSN"
"TUT1",21.1327543725984,7.34117435873443,1.7383342379332,1.73385935132028e-07,7.00033328385912e-06,"TUT1"
"PYGO2",7.31086408669457,7.29721845248561,2.80082432650887,1.23856058387993e-05,0.000201405058812512,"PYGO2"
"IGLC1",7.31786107084781,7.26215478947202,2.8326632770771,2.6748710801411e-05,0.000355919051162655,"IGLC1"
"MDH2",19.3066635508878,7.2535808550303,1.60981148726826,7.7781251208795e-09,6.00679217062421e-07,"MDH2"
"RPS7",26.9758282706793,7.24126815806634,1.36018778639522,3.39723752479211e-11,9.23199297362256e-09,"RPS7"
